"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2020-12-29 09:15:00,43,75,58,,,,44,80,54,45,,,44
2020-12-29 09:30:00,44,,,48,,79,44,81,55,45,52,50,46
2020-12-29 10:00:00,44,76,58,49,,80,44,83,55,46,53,51,48
2020-12-29 10:15:00,45,75,58,49,,,44,84,55,46,53,,48
2020-12-29 10:30:00,46,76,58,51,,,44,85,56,47,53,52,49
2020-12-29 10:45:00,47,,59,51,,,44,86,56,47,53,,48
2020-12-29 11:00:00,46,76,59,51,,,44,89,56,47,53,53,48
2020-12-29 11:30:00,47,76,60,,,77,45,88,,47,53,54,50
2020-12-29 11:45:00,41,72,,51,,76,44,88,,47,54,,
2020-12-29 12:30:00,45,70,59,51,,54,45,82,,48,54,53,52
2020-12-29 12:45:00,43,66,,51,,51,44,78,56,48,55,,
2020-12-29 13:15:00,40,67,,,,49,42,71,,49,55,54,52
2020-12-29 13:45:00,42,62,57,,,54,42,71,55,49,55,55,49
2020-12-29 14:00:00,43,60,57,53,,49,43,67,55,49,54,55,49
2020-12-29 14:15:00,44,,58,,,50,43,67,55,49,54,52,50
2020-12-29 14:30:00,46,60,58,53,,49,44,66,55,49,54,53,50
2020-12-29 15:15:00,46,,59,53,,51,45,68,55,49,54,53,51
2020-12-29 15:30:00,44,63,,52,,53,45,69,55,49,54,,
2020-12-29 16:15:00,45,,58,51,,61,44,71,55,48,54,,
2020-12-29 16:30:00,45,66,58,,,60,44,72,55,48,54,51,
2020-12-29 17:00:00,46,66,,51,,64,,,55,,,52,
2020-12-29 17:30:00,45,68,58,,,68,45,74,55,48,54,53,50
2020-12-29 17:45:00,46,68,58,51,,68,45,73,55,48,54,53,50
2020-12-29 18:00:00,46,69,58,51,,70,45,74,,48,54,53,50
2020-12-29 18:15:00,46,,59,51,,70,45,73,55,48,54,54,50
2020-12-29 18:45:00,45,,59,,,66,45,73,56,48,54,53,50
2020-12-29 19:00:00,47,67,58,51,,68,45,74,56,48,54,53,
2020-12-29 19:30:00,47,68,59,51,,70,46,75,56,48,54,53,50
2020-12-29 19:45:00,47,,,,,69,46,75,56,48,53,,50
2020-12-29 20:15:00,47,69,59,,73,70,46,75,56,48,53,53,49
2020-12-29 20:45:00,47,69,59,,,70,46,76,56,48,53,53,49
2020-12-29 21:15:00,46,70,59,,,71,46,76,56,49,53,53,49
2020-12-29 21:45:00,46,,60,,,74,46,77,56,49,53,53,49
2020-12-29 22:15:00,46,70,60,,,73,45,76,56,49,53,53,48
2020-12-29 22:45:00,45,,60,,,75,45,76,56,49,52,,
2020-12-29 23:00:00,45,70,60,53,,73,45,76,56,49,52,53,48
2020-12-29 23:30:00,45,70,60,53,,73,45,77,56,49,52,53,48
2020-12-30 00:30:00,45,,,,,76,45,78,56,49,52,,48
2020-12-30 01:00:00,45,69,60,53,,68,45,76,56,49,52,53,
2020-12-30 01:15:00,45,,,,,69,45,73,56,49,52,53,
2020-12-30 01:45:00,45,70,60,53,,71,45,77,56,49,52,,48
2020-12-30 02:15:00,45,,,,,73,45,76,56,49,52,52,
2020-12-30 02:30:00,45,70,60,53,,73,45,76,56,49,52,52,48
2020-12-30 02:45:00,45,70,60,53,,73,,77,56,49,52,52,48
2020-12-30 03:00:00,44,71,,,,73,45,77,56,49,52,,
2020-12-30 04:00:00,44,72,,,,81,44,82,56,49,52,52,
2020-12-30 04:45:00,44,,,,,80,44,82,56,49,52,,
2020-12-30 05:15:00,44,,,,,81,44,83,56,49,52,,48
2020-12-30 05:45:00,44,75,,,77,81,44,82,56,49,52,,
2020-12-30 06:00:00,44,,,,,,44,82,56,49,51,52,47
2020-12-30 06:45:00,44,74,,,,82,44,81,56,49,51,52,
2020-12-30 07:15:00,44,75,59,,,83,44,81,56,49,51,52,47
2020-12-30 07:30:00,44,75,,53,,84,44,81,56,48,51,,47
2020-12-30 07:45:00,43,75,59,53,,,44,81,56,48,51,52,47
2020-12-30 08:00:00,44,,59,47,,86,44,81,56,46,51,52,47
2020-12-30 08:15:00,44,74,60,48,,85,44,81,56,46,51,52,47
2020-12-30 08:30:00,44,74,53,49,,85,44,81,54,47,51,52,47
2020-12-30 08:45:00,43,74,49,47,,85,44,81,53,46,51,51,47
2020-12-30 09:00:00,43,,54,,,,44,81,53,46,51,,47
2020-12-30 09:30:00,43,72,,47,,,,80,54,46,51,51,
2020-12-30 09:45:00,44,72,57,48,,,44,80,54,46,51,51,47
2020-12-30 10:00:00,45,71,57,49,,,44,79,54,46,51,51,47
2020-12-30 10:15:00,45,70,,49,,75,45,80,54,46,51,,47
2020-12-30 10:30:00,45,,57,,,,45,79,54,46,51,51,
2020-12-30 10:45:00,45,70,,49,79,68,45,77,54,46,51,51,48
2020-12-30 11:15:00,44,68,,,,65,45,75,55,46,51,52,
2020-12-30 11:30:00,45,69,,50,,67,45,74,55,47,51,,48
2020-12-30 12:00:00,46,70,,50,,,45,75,55,47,52,51,
2020-12-30 12:15:00,47,71,,50,,,45,77,55,47,52,52,48
2020-12-30 12:30:00,47,,58,,,72,46,76,55,47,52,,
2020-12-30 12:45:00,53,72,58,50,,,46,79,55,47,52,52,50
2020-12-30 13:15:00,55,,61,,,74,48,82,55,47,53,,
2020-12-30 13:30:00,59,,,,,,49,82,56,48,54,,58
2020-12-30 13:45:00,53,69,63,52,,71,49,79,57,48,55,54,58
2020-12-30 14:00:00,51,69,63,52,,,49,77,57,48,55,54,57
2020-12-30 14:15:00,45,68,,52,,,48,75,57,48,55,,
2020-12-30 14:45:00,46,69,61,53,,70,46,76,57,49,55,52,54
2020-12-30 15:15:00,45,70,,52,,,46,75,57,49,55,52,53
2020-12-30 15:30:00,45,70,61,53,,71,46,76,57,49,55,52,53
2020-12-30 15:45:00,46,70,61,53,78,72,46,76,57,50,55,53,53
2020-12-30 16:15:00,45,,,54,,69,46,74,,50,56,,55
2020-12-30 16:30:00,46,66,63,54,,68,46,73,57,50,56,52,
2020-12-30 17:00:00,46,,,53,,,46,75,58,50,56,54,54
2020-12-30 17:30:00,48,68,62,54,,69,46,75,58,51,56,54,54
2020-12-30 17:45:00,49,68,62,,,72,46,76,58,50,56,54,
2020-12-30 18:00:00,50,,,53,,73,47,76,58,50,56,54,53
2020-12-30 18:15:00,51,70,63,,,73,47,77,58,50,56,,52
2020-12-30 18:30:00,51,70,63,53,,,48,77,58,50,55,56,
2020-12-30 18:45:00,49,70,63,54,,,48,77,58,50,55,56,52
2020-12-30 19:15:00,49,,63,,,,48,76,58,50,55,55,
2020-12-30 19:45:00,47,,63,54,,74,48,77,58,50,55,56,54
2020-12-30 20:30:00,47,,63,55,,74,47,76,,51,56,56,
2020-12-30 20:45:00,46,,,,76,,47,77,59,51,56,,55
2020-12-30 21:00:00,46,68,66,,,,47,76,60,51,57,,
2020-12-30 21:30:00,46,,,,,,46,76,60,51,57,57,
2020-12-30 22:30:00,45,,,,,,46,78,,51,58,59,55
2020-12-30 23:30:00,45,72,,54,,80,46,80,59,50,57,,54
2020-12-30 23:45:00,44,71,63,54,,80,46,79,59,50,57,59,54
2020-12-31 00:15:00,44,71,,,,81,,78,,,,,53
2020-12-31 00:30:00,44,,,,,87,46,78,,50,57,,53
2020-12-31 01:15:00,44,,,,,88,46,79,,49,57,,
2020-12-31 01:45:00,44,,62,,,,45,80,58,49,57,,53
2020-12-31 02:15:00,43,74,,,,87,45,80,,49,57,,
2020-12-31 03:00:00,43,,,53,,,,79,,49,56,58,52
2020-12-31 03:30:00,43,76,61,53,,90,45,79,58,49,56,58,52
2020-12-31 04:00:00,43,,,,,88,45,81,,49,56,57,51
2020-12-31 04:30:00,43,74,61,53,,81,44,80,57,49,56,57,51
2020-12-31 04:45:00,42,,,53,,79,44,79,,49,55,,51
2020-12-31 05:00:00,42,74,60,53,,,44,79,,49,55,57,51
2020-12-31 05:15:00,42,,60,,,76,44,79,,49,55,57,
2020-12-31 05:45:00,43,,,,,,44,78,,49,55,57,50
2020-12-31 06:00:00,43,73,60,53,82,75,,,,,,57,
2020-12-31 06:15:00,42,72,59,53,,72,44,76,,49,55,56,50
2020-12-31 06:30:00,42,,,,,68,44,75,57,49,55,56,50
2020-12-31 06:45:00,42,,,,,68,44,74,,49,55,,50
2020-12-31 07:15:00,42,69,,,,63,44,72,56,49,55,57,50
2020-12-31 07:45:00,42,,,,,61,44,72,56,49,54,,
2020-12-31 08:30:00,42,76,,,,85,44,83,,49,54,56,49
2020-12-31 08:45:00,42,,52,,,87,44,84,56,49,54,,
2020-12-31 09:30:00,39,,54,,,85,43,84,52,46,52,,41
2020-12-31 09:45:00,40,,56,45,,81,42,85,,45,52,,
2020-12-31 10:30:00,40,,,46,,,43,84,,45,51,,44
2020-12-31 11:00:00,41,80,,46,,85,43,87,55,45,51,47,44
2020-12-31 11:15:00,42,79,57,46,,84,43,88,,45,51,47,44
2020-12-31 11:30:00,42,,57,,,79,43,87,,45,51,,44
2020-12-31 12:15:00,42,78,,47,,79,43,85,,45,51,48,45
2020-12-31 12:30:00,42,78,57,47,,78,,85,55,45,51,48,45
2020-12-31 12:45:00,42,78,57,47,,,44,85,55,45,51,49,46
2020-12-31 13:00:00,42,77,57,47,,77,44,85,,45,51,50,45
2020-12-31 13:15:00,41,,,47,,72,,,,,,50,45
2020-12-31 13:45:00,41,75,57,47,,70,,83,54,,51,48,45
2020-12-31 14:00:00,40,75,57,,,70,43,81,54,45,51,48,
2020-12-31 14:15:00,40,75,,47,,71,42,80,54,45,51,,44
2020-12-31 15:00:00,42,77,57,47,,78,43,85,54,45,51,48,
2020-12-31 15:45:00,43,80,57,48,,86,43,89,54,45,51,,
2020-12-31 16:00:00,42,80,,,,86,43,89,54,45,51,48,45
2020-12-31 16:45:00,42,78,,,,82,43,88,54,45,51,48,
2020-12-31 17:45:00,44,77,,,,,44,85,54,45,51,,46
2020-12-31 18:00:00,44,,57,48,,80,44,84,,45,51,48,46
2020-12-31 18:15:00,44,77,57,48,,81,44,85,54,45,51,,46
2020-12-31 18:45:00,45,,,,,83,44,85,,45,51,,48
2020-12-31 19:15:00,47,,,49,,,45,86,55,46,51,,
2020-12-31 19:30:00,46,78,,,,,45,86,55,46,,52,
2020-12-31 20:15:00,45,77,,50,84,82,46,85,,47,51,,
2020-12-31 20:30:00,45,77,60,51,,80,46,84,56,47,52,53,50
2020-12-31 20:45:00,45,,60,,,,46,84,56,47,52,,49
2020-12-31 21:00:00,45,,60,52,,80,46,85,56,47,52,,
2020-12-31 21:15:00,44,77,,52,,83,46,86,56,47,52,54,50
2020-12-31 21:30:00,44,,60,,,84,45,88,56,47,53,,51
2020-12-31 22:15:00,44,79,60,52,,87,45,91,,48,53,53,52
2020-12-31 23:00:00,44,80,,53,,89,45,93,56,48,54,,52
2020-12-31 23:15:00,44,,,,,,45,93,56,48,54,54,
2020-12-31 23:30:00,44,80,60,,,86,45,93,56,48,54,,52
2021-01-01 00:00:00,44,80,,,,,44,92,56,49,54,,
2021-01-01 00:15:00,44,80,,,,,44,,,,,56,53
2021-01-01 00:30:00,44,,60,53,,82,44,92,56,49,54,,53
2021-01-01 01:15:00,45,,,,,85,44,93,,49,55,,53
2021-01-01 02:00:00,45,,61,53,,,45,95,57,49,55,,52
2021-01-01 02:30:00,44,,61,53,,,45,95,,49,55,56,52
2021-01-01 03:00:00,44,,,52,,,45,96,57,48,55,,
2021-01-01 03:30:00,44,,60,52,,90,45,96,57,48,55,56,52
2021-01-01 04:00:00,44,,,,,,,97,56,48,55,,51
2021-01-01 04:30:00,43,,,52,,,45,97,,48,55,55,
2021-01-01 04:45:00,44,81,,,,,45,96,,48,55,,
2021-01-01 05:30:00,44,80,,52,,,44,96,,48,55,,
2021-01-01 06:30:00,43,81,,,93,92,44,95,,48,55,,
2021-01-01 06:45:00,43,,,,,,44,95,,48,55,,52
2021-01-01 07:30:00,43,81,,52,,,44,94,,48,55,,52
2021-01-01 08:15:00,44,81,,50,,,44,99,56,47,55,,50
2021-01-01 09:00:00,43,81,,44,,,44,100,55,44,52,46,44
2021-01-01 09:15:00,42,,,44,,,44,100,,44,52,47,44
2021-01-01 09:45:00,43,81,62,49,,,44,100,56,45,52,52,47
2021-01-01 10:15:00,40,78,,48,,,43,100,57,46,52,,46
2021-01-01 10:30:00,43,79,,,,,43,100,57,46,52,,46
2021-01-01 11:00:00,44,,,49,,92,44,100,56,46,52,,
2021-01-01 12:00:00,46,,,49,,89,45,100,57,46,51,,
2021-01-01 12:30:00,49,78,,50,,87,46,100,57,46,51,55,46
2021-01-01 13:00:00,50,,61,51,,,46,100,57,47,51,,46
2021-01-01 13:30:00,49,78,62,,,,47,100,57,47,51,58,
2021-01-01 14:00:00,49,,,,,,48,100,58,47,52,,50
2021-01-01 14:15:00,41,79,63,52,,,45,100,58,47,52,,50
2021-01-01 14:45:00,45,,,51,,87,45,100,58,47,53,,
2021-01-01 15:15:00,46,,61,51,,86,46,99,57,47,53,,51
2021-01-01 15:45:00,47,,,52,,,46,99,57,48,54,,
2021-01-01 16:45:00,47,78,,,98,,46,98,57,48,54,55,
2021-01-01 17:00:00,47,,61,52,,88,46,98,57,48,54,,51
2021-01-01 17:45:00,47,,,,,,46,98,57,48,54,55,
2021-01-01 18:30:00,48,,,52,,89,46,98,57,48,55,,
2021-01-01 18:45:00,48,,,52,,88,46,98,57,48,55,,52
2021-01-01 19:15:00,48,,,52,,,46,98,57,49,55,53,52
2021-01-01 19:30:00,48,,,52,,,46,98,57,49,55,,
2021-01-01 20:15:00,45,,61,53,,,46,99,57,49,55,56,
2021-01-01 20:30:00,45,78,,53,,89,46,99,57,49,55,,53
2021-01-01 21:30:00,45,,,,,,45,99,57,49,55,,
2021-01-01 22:00:00,44,,61,53,95,,45,100,57,49,56,58,54
2021-01-01 22:30:00,44,79,,,,,45,99,57,49,56,,54
2021-01-01 23:15:00,44,,60,,,,45,100,57,49,56,,
2021-01-02 00:15:00,43,,,,,,,,,,,,
2021-01-02 00:30:00,43,80,,,,,45,100,57,49,56,,53
2021-01-02 01:15:00,43,,,,,,45,99,57,49,56,,
2021-01-02 02:00:00,43,,60,,,,45,99,57,49,56,,53
2021-01-02 02:45:00,43,,,53,,91,45,99,57,49,56,58,
2021-01-02 03:00:00,43,,,,97,,44,99,57,49,56,,
2021-01-02 04:00:00,42,,,53,,,44,99,57,49,56,,53
2021-01-02 04:30:00,42,,,53,,,44,98,56,49,56,,
2021-01-02 05:00:00,42,79,,,,,44,99,56,49,56,,52
2021-01-02 05:45:00,42,,,53,,,44,99,56,49,56,,52
2021-01-02 06:45:00,42,,,,,89,44,98,56,49,56,,53
2021-01-02 07:45:00,42,,,,,,44,98,56,49,55,,51
2021-01-02 08:45:00,43,,53,,,86,44,97,56,49,54,,49
2021-01-02 09:45:00,42,,,,,,43,97,54,45,52,46,44
2021-01-02 10:00:00,43,77,56,,,85,43,96,54,46,52,47,45
2021-01-02 10:45:00,43,78,57,,,,44,96,55,46,52,,
2021-01-02 11:30:00,44,,57,,,84,45,96,55,46,52,,46
2021-01-02 11:45:00,44,78,,,,,45,95,55,47,52,,
2021-01-02 12:15:00,45,,,49,,,45,94,55,47,52,,
2021-01-02 12:45:00,45,77,,,,,46,92,55,47,52,52,47
2021-01-02 13:30:00,44,76,,,94,,45,91,55,47,53,,
2021-01-02 14:00:00,44,,,52,,81,45,89,56,48,53,,
2021-01-02 14:30:00,43,77,,,,,44,87,55,48,53,53,
2021-01-02 15:00:00,44,,58,52,,,45,85,55,48,53,,
2021-01-02 15:15:00,45,,,52,,,45,84,55,48,53,52,49
2021-01-02 16:00:00,45,,59,51,,81,45,84,56,48,54,,50
2021-01-02 16:15:00,45,76,,50,,,45,84,56,48,54,52,
2021-01-02 17:00:00,44,,,49,,,45,84,56,47,54,,49
2021-01-02 18:00:00,44,,,,,,45,83,56,47,54,,49
2021-01-02 18:45:00,45,76,63,51,91,,45,83,58,48,54,52,50
2021-01-02 19:00:00,47,77,,,,83,45,83,,48,54,54,50
2021-01-02 20:00:00,46,76,,,,,46,83,58,48,54,57,
2021-01-02 20:45:00,45,75,,,,81,46,81,58,49,55,,53
2021-01-02 21:00:00,45,,,,,,46,81,58,49,55,58,
2021-01-02 21:45:00,44,74,61,,,,46,81,,49,56,58,54
2021-01-02 22:30:00,44,,,53,,,45,82,58,49,56,,54
2021-01-02 22:45:00,44,74,,,,,45,81,58,49,56,60,
2021-01-02 23:45:00,43,74,,,,81,45,81,57,49,56,60,
2021-01-03 00:30:00,43,,,,,,,80,,,,,54
2021-01-03 01:30:00,42,73,,,,,44,79,57,49,57,61,
2021-01-03 02:15:00,42,,,,,,44,79,57,49,57,,54
2021-01-03 02:45:00,42,,,,,,44,79,57,49,57,,
2021-01-03 03:15:00,42,,,,,,44,79,57,49,57,,53
2021-01-03 04:15:00,42,,,,,,44,79,,49,56,60,53
2021-01-03 05:15:00,42,73,,,87,,44,77,57,49,56,60,
2021-01-03 06:00:00,41,,,,,,44,79,56,49,56,60,53
2021-01-03 06:45:00,41,,,53,,,44,79,56,49,56,,53
2021-01-03 07:00:00,41,73,59,53,,,44,79,56,49,56,59,53
2021-01-03 07:30:00,41,,59,53,,,44,79,56,49,56,,53
2021-01-03 08:00:00,41,74,59,,,,44,79,56,49,55,,48
2021-01-03 08:45:00,42,75,53,46,,81,44,79,54,45,52,39,42
2021-01-03 09:00:00,41,75,57,39,,,43,79,55,45,52,45,43
2021-01-03 09:15:00,42,,57,45,,,43,79,55,45,52,46,44
2021-01-03 10:00:00,43,74,59,,,,44,79,,46,52,49,
2021-01-03 10:45:00,43,73,,,,79,44,78,56,47,52,,46
2021-01-03 11:45:00,45,72,,,,,44,77,56,47,53,,48
2021-01-03 12:45:00,45,72,,,,75,45,76,57,47,53,,49
2021-01-03 13:00:00,43,,,50,,76,44,77,57,47,53,55,
2021-01-03 13:30:00,43,73,,,,77,44,79,57,48,54,,50
2021-01-03 14:00:00,36,66,59,51,,,42,78,57,48,54,53,
2021-01-03 14:30:00,38,73,,,,79,42,80,56,48,53,,46
2021-01-03 15:00:00,40,74,,50,,81,42,81,56,48,53,51,
2021-01-03 15:30:00,41,76,,,,83,42,83,56,47,53,,
2021-01-03 16:15:00,41,,,,,,42,86,56,46,53,,47
2021-01-03 17:15:00,41,78,57,,,,43,88,55,46,53,,47
2021-01-03 18:15:00,42,77,,,,,43,88,56,46,53,,50
2021-01-03 19:00:00,44,,,,,90,,88,56,47,,,
2021-01-03 19:30:00,46,,59,50,,90,44,88,56,47,53,51,
2021-01-03 19:45:00,47,77,59,50,,90,45,87,56,47,53,52,50
2021-01-03 20:00:00,46,,,,,,45,88,56,47,53,,
2021-01-03 21:00:00,44,,,,90,,45,86,56,48,54,,
2021-01-03 21:45:00,43,,,,,,44,85,56,48,55,,
2021-01-03 22:45:00,43,75,,,,89,44,85,56,48,55,,52
2021-01-03 23:00:00,42,77,,52,,,44,86,56,48,55,57,
2021-01-03 23:45:00,42,,,,,,44,85,56,48,55,,53
2021-01-04 00:30:00,42,75,59,,,,44,85,56,48,55,,
2021-01-04 01:00:00,42,75,59,52,,,44,85,56,48,55,,
2021-01-04 01:30:00,41,,,52,,,43,85,56,48,55,57,52
2021-01-04 01:45:00,41,76,,,,,43,85,56,48,55,57,52
2021-01-04 02:15:00,41,,,52,91,90,43,85,56,48,55,,52
2021-01-04 03:15:00,41,,,,,91,43,86,56,48,55,,
2021-01-04 04:15:00,41,,,,,90,43,86,55,48,55,57,
2021-01-04 04:30:00,41,78,,,,,43,86,55,48,55,,51
2021-01-04 05:00:00,41,,,,,,43,85,55,48,55,57,
2021-01-04 05:15:00,41,,,,,,43,85,55,48,55,,
2021-01-04 06:00:00,41,,,,,,43,86,55,48,55,,
2021-01-04 06:15:00,41,,,,,91,43,85,55,48,55,,
2021-01-04 07:00:00,41,,58,,,91,43,85,55,48,55,,52
2021-01-04 07:45:00,40,,47,40,,,43,85,52,46,51,41,39
2021-01-04 08:45:00,41,,,,,86,42,82,53,45,50,,
2021-01-04 09:45:00,42,,,,,82,43,82,53,45,50,,
2021-01-04 10:45:00,41,70,,,,77,43,80,53,45,50,,
2021-01-04 11:00:00,41,,56,46,,,43,80,53,45,50,49,44
2021-01-04 11:15:00,41,70,56,46,,78,43,79,53,45,50,49,44
2021-01-04 11:45:00,42,69,56,47,,75,43,79,53,45,50,51,45
2021-01-04 12:00:00,45,69,56,47,,74,43,77,53,45,50,50,45
2021-01-04 12:15:00,46,69,56,48,,,44,76,54,46,50,50,45
2021-01-04 12:30:00,45,69,57,48,,74,44,76,54,46,50,50,45
2021-01-04 13:00:00,45,67,58,48,,71,45,74,54,46,51,50,47
2021-01-04 13:15:00,45,,58,49,89,72,45,75,54,46,51,50,48
2021-01-04 13:30:00,45,68,58,,,72,44,74,54,46,51,,48
2021-01-04 13:45:00,45,,58,50,,70,44,75,54,46,51,50,48
2021-01-04 14:30:00,45,,,51,,67,44,73,54,47,52,,48
2021-01-04 15:30:00,44,,,,,67,44,72,54,47,52,,
2021-01-04 16:00:00,43,67,,,,64,44,71,54,46,52,,47
2021-01-04 16:30:00,42,67,57,,,67,44,72,54,46,52,51,47
2021-01-04 17:15:00,43,,,,,,43,73,54,46,51,,47
2021-01-04 17:45:00,43,68,,,,,44,72,54,46,51,50,47
2021-01-04 18:15:00,43,,58,47,,69,44,73,54,46,51,52,47
2021-01-04 18:45:00,49,68,58,49,83,70,44,74,55,46,51,51,
2021-01-04 19:15:00,46,,58,50,,70,45,74,55,47,51,,
2021-01-04 20:15:00,44,68,59,,,,44,75,55,47,52,,
2021-01-04 20:45:00,45,,58,51,,75,45,76,55,47,52,,50
2021-01-04 21:15:00,44,72,,,,78,44,76,55,48,53,,
2021-01-04 21:45:00,44,74,58,52,,80,44,78,55,48,53,,51
2021-01-04 22:00:00,44,75,61,,,80,44,79,56,48,53,,
2021-01-04 23:00:00,43,75,60,,,81,44,78,57,48,54,,
2021-01-05 00:00:00,43,73,60,,,,,,,,,,
2021-01-05 01:00:00,42,73,,,,,44,78,56,48,55,,
2021-01-05 01:45:00,42,,59,,,,43,78,56,48,55,,52
2021-01-05 02:45:00,41,72,59,,,82,43,78,55,48,55,,
2021-01-05 03:45:00,41,74,58,,,,43,79,55,48,55,,
2021-01-05 04:30:00,41,74,,,,,43,79,55,48,55,,
2021-01-05 04:45:00,41,74,58,52,,,43,79,55,48,55,59,52
2021-01-05 05:45:00,41,75,,,87,86,42,79,55,48,55,,
2021-01-05 06:45:00,41,74,,51,,,42,80,55,48,55,58,
2021-01-05 07:15:00,40,,53,44,,,42,79,52,48,55,45,35
